ID Paper;Title
98865;Six scenarios of exploiting an ontology based, mobilized learning environment
98866;Using ontologies to design competency-based e-learning applications
98874;Adaptive guidance for disciplinary competencies self-learning using an educational hypermedia
98875;An innovative ontology-driven system supporting personnel selection: The OntoHR case
98876;Conceptual design of a tool for personalized and context-based learning on the job
98877;Modeling semantic context for active e-learning in the workplace
98878;Bridging the gap between competency based approach and intelligent tutoring systems
98879;Knowledge graph: Semantic representation and assessment of innovation ecosystems
98887;Model of linking organization goals to employee competence management for formal and non-formal education providers
98888;A model for skills and competences and its application in the agricultural sector
98889;Knowledge acquisition and learning process description in context of e-learning
98902;Knowledge management within the medical university
98907;Interoperability framework for competences and learning outcomes
98908;Knowledge-based model for curricular design in Ecuadorian universities
98910;An ontology-based learning system in IT project management
98911;An ontology-based recommender system to support nursing education and training
98913;Using agents and open learner model ontology for providing constructive adaptive techniques in virtual learning environments
98914;Tracing the metacognitive competencies of online learners
98915;Mathematical models of learning materials estimation based on subject ontology
98916;STSIM: Semantic-web based tool to student instruction monitoring
98922;Integration of competencies in an ontology-based framework supporting teachers to construct learning designs in the domain of sustainable energy education
98927;Model of intangible production network for competence development
98928;A semantic Recommender System for iDTV based on educational competencies
98930;An ontology-based E-learning framework for healthcare human resource management
98946;Learning personalization design solutions in an e-learning system
98953;Using a competence model to aggregate learning knowledge objects
98954;Enhancing ontology-based educational content search service with competency
98955;Transforming a competency model to parameterised questions in assessment
98956;An evaluation of generated question sequences based on competency modelling
98962;A competency-oriented modeling approach for personalized e-learning systems
98968;An ontology and a software framework for competency modeling and management
98969;Affordances of machine-processable competency modelling
98970;Modeling project management competences: An ontology-based solution for competency-based learning
98985;The ELEKTRA ontology model: A learner-centered approach to resource description
98991;Ontology-Based Methodology for Knowledge Maps Design
98997;Ontology-based approach to formalization of competencies
98998;The Influence of Descriptive Language Practices on the Process of External Integration of Corporate Knowledge
98999;Ontology-based learning content recommendation
99004;A personalized and collaborative elearning materials recommendation scenario using ontology-based data matching strategies
99010;The educational system and the competency-based approach: Towards a formalization of the approach
99012;Metadata for describing educational competencies: The UOC case
99017;Knowledge based systems for planning learning outcomes in manufacturing engineering
99029;Model of a collaboration environment for knowledge management in competence-based learning
99032;CADDIE and IWT: Two different ontology-based approaches to anytime, anywhere and anybody learning
99039;The model of continuous profession-oriented learning in the e-environment based on a competence approach and academic knowledge management
99052;An ontology for describing competency-based curriculum at engineering careers
99054;Digital technologies in the system of professional qualifications: competence based approach
99059;Allocation of Human Resources in Sustainable Production Context
99061;The use of ontologies in the development of a mobile e-learning application in the process of staff adaptation
99074;Standardization of Education Content for Future Engineers Based on Ontologies (by an Example of Railway Transport)
99078;Ontological Analysis of Outcomes of Non-formal and Informal Learning for Agro-Advisory System AdvisOnt
99102;Towards a semantic framework for lifelong integrated competency management and development
99114;Ontology for corpus of occupation and competency standards
99127;Where the competency-based assessment meets the semantic learning analytics
99131;Working in the 4.0 Era: An Ontology for Competence Management in the Fourth Industrial Revolution
99154;Features of development and use in the educational process of nrnu mephi tutoring integrated expert ystems in the field of study «software engineering»
99161;An ontology-based multi-level semantic representation model for learning objects annotation
99164;Development of ontology model of requirements to results of training in system of adaptive control of education quality
99195;Modeling competencies in competency-based learning: classification and cartography
99196;SCALE: A competence analytics framework
99199;Design of a learner model based on the competency-based approach ontology
99208;Platform for computer-aided harmonization of informatics curricula
99209;Patching bits won’t fix vocational education in Australia–a new model is needed
99212;Modelling an adaptive e-learning system for implementing competencies-based approach
99214;Innovative paradigm of education of knowledge –competency form based on ontology
99219;Ontology development for competence assessment in virtual communities of practice
99225;Use of ontologies and the Semantic Web for qualifications framework transparency
99232;Ontology-based competency management: Infrastructures for the knowledge intensive learning organization
99246;A formalism of the competency-based approach in adaptive learning systems
99248;Ontology based competency matching between vocational education and the workplace
99258;Ontology-based user competencies modeling for e-learning recommender systems
